symbol,trade_day,close,bar_vwap,volume,con_id,source
APA,2026-06-22,34.2,33.816,3939253.0,474515500,TWS historical TRADES / 1 day / RTH
APA,2026-06-23,34.22,34.102,2833067.0,474515500,TWS historical TRADES / 1 day / RTH
APA,2026-06-25,33.42,33.331,3082494.0,474515500,TWS historical TRADES / 1 day / RTH
APA,2026-06-29,32.96,33.121,2636979.0,474515500,TWS historical TRADES / 1 day / RTH
APA,2026-06-30,32.57,32.746,2816556.0,474515500,TWS historical TRADES / 1 day / RTH
AR,2026-06-22,34.03,33.57594,3473415.0,135942630,TWS historical TRADES / 1 day / RTH
AR,2026-06-23,34.53,34.2423,3683762.0,135942630,TWS historical TRADES / 1 day / RTH
AR,2026-06-25,34.5,34.56091,3863688.0,135942630,TWS historical TRADES / 1 day / RTH
AR,2026-06-29,34.44,34.58454,2069774.0,135942630,TWS historical TRADES / 1 day / RTH
AR,2026-06-30,35.14,35.31265,2338990.0,135942630,TWS historical TRADES / 1 day / RTH
BKV,2026-06-22,25.69,25.365,762447.0,731109568,TWS historical TRADES / 1 day / RTH
BKV,2026-06-23,25.49,25.441,325934.0,731109568,TWS historical TRADES / 1 day / RTH
BKV,2026-06-25,25.87,25.957,372958.0,731109568,TWS historical TRADES / 1 day / RTH
BKV,2026-06-29,26.0,26.121,531028.0,731109568,TWS historical TRADES / 1 day / RTH
BKV,2026-06-30,27.36,27.023,658569.0,731109568,TWS historical TRADES / 1 day / RTH
CHRD,2026-06-22,124.45,123.627,468018.0,456517746,TWS historical TRADES / 1 day / RTH
CHRD,2026-06-23,124.44,124.589,348355.0,456517746,TWS historical TRADES / 1 day / RTH
CHRD,2026-06-25,119.48,119.444,352782.0,456517746,TWS historical TRADES / 1 day / RTH
CHRD,2026-06-29,115.97,116.712,563331.0,456517746,TWS historical TRADES / 1 day / RTH
CHRD,2026-06-30,114.3,115.422,389246.0,456517746,TWS historical TRADES / 1 day / RTH
CLMT,2026-06-22,33.25,32.897,231389.0,715002751,TWS historical TRADES / 1 day / RTH
CLMT,2026-06-23,32.83,32.695,351260.0,715002751,TWS historical TRADES / 1 day / RTH
CLMT,2026-06-25,34.27,33.685,248324.0,715002751,TWS historical TRADES / 1 day / RTH
CLMT,2026-06-29,35.83,36.048,433610.0,715002751,TWS historical TRADES / 1 day / RTH
CLMT,2026-06-30,36.02,35.892,271421.0,715002751,TWS historical TRADES / 1 day / RTH
CLNE,2026-06-22,1.79,1.80914,1114015.0,44465608,TWS historical TRADES / 1 day / RTH
CLNE,2026-06-23,1.73,1.75482,1072543.0,44465608,TWS historical TRADES / 1 day / RTH
CLNE,2026-06-25,1.79,1.76853,1501432.0,44465608,TWS historical TRADES / 1 day / RTH
CLNE,2026-06-29,1.9,1.91638,1286392.0,44465608,TWS historical TRADES / 1 day / RTH
CLNE,2026-06-30,2.05,2.02843,2379919.0,44465608,TWS historical TRADES / 1 day / RTH
CNX,2026-06-22,33.2,32.882,795306.0,295296295,TWS historical TRADES / 1 day / RTH
CNX,2026-06-23,33.5,33.327,816616.0,295296295,TWS historical TRADES / 1 day / RTH
CNX,2026-06-25,33.61,33.565,874362.0,295296295,TWS historical TRADES / 1 day / RTH
CNX,2026-06-29,33.29,33.235,1594409.0,295296295,TWS historical TRADES / 1 day / RTH
CNX,2026-06-30,33.93,34.036,1104792.0,295296295,TWS historical TRADES / 1 day / RTH
COP,2026-06-22,109.7,109.273,3494959.0,10885,TWS historical TRADES / 1 day / RTH
COP,2026-06-23,109.97,110.019,4032199.0,10885,TWS historical TRADES / 1 day / RTH
COP,2026-06-25,106.41,106.483,4178381.0,10885,TWS historical TRADES / 1 day / RTH
COP,2026-06-29,104.2,104.981,3092982.0,10885,TWS historical TRADES / 1 day / RTH
COP,2026-06-30,103.96,104.185,2917174.0,10885,TWS historical TRADES / 1 day / RTH
CRC,2026-06-22,54.81,54.728,340800.0,452226249,TWS historical TRADES / 1 day / RTH
CRC,2026-06-23,52.9,53.246,345373.0,452226249,TWS historical TRADES / 1 day / RTH
CRC,2026-06-25,53.78,53.773,296677.0,452226249,TWS historical TRADES / 1 day / RTH
CRC,2026-06-29,52.6,52.904,315430.0,452226249,TWS historical TRADES / 1 day / RTH
CRC,2026-06-30,52.87,53.13,458452.0,452226249,TWS historical TRADES / 1 day / RTH
CRGY,2026-06-22,10.52,10.424,3169479.0,530965685,TWS historical TRADES / 1 day / RTH
CRGY,2026-06-23,10.52,10.533,3120053.0,530965685,TWS historical TRADES / 1 day / RTH
CRGY,2026-06-25,10.1,10.131,3051862.0,530965685,TWS historical TRADES / 1 day / RTH
CRGY,2026-06-29,10.0,10.047,3981859.0,530965685,TWS historical TRADES / 1 day / RTH
CRGY,2026-06-30,9.82,9.924,3264413.0,530965685,TWS historical TRADES / 1 day / RTH
CRK,2026-06-22,13.45,13.288,1754946.0,241891174,TWS historical TRADES / 1 day / RTH
CRK,2026-06-23,13.46,13.381,1592523.0,241891174,TWS historical TRADES / 1 day / RTH
CRK,2026-06-25,13.87,13.769,1157822.0,241891174,TWS historical TRADES / 1 day / RTH
CRK,2026-06-29,14.19,14.16,1589415.0,241891174,TWS historical TRADES / 1 day / RTH
CRK,2026-06-30,14.92,14.922,1997156.0,241891174,TWS historical TRADES / 1 day / RTH
CVI,2026-06-22,27.9,27.551,475577.0,46671687,TWS historical TRADES / 1 day / RTH
CVI,2026-06-23,27.2,27.064,967329.0,46671687,TWS historical TRADES / 1 day / RTH
CVI,2026-06-25,27.31,27.429,895870.0,46671687,TWS historical TRADES / 1 day / RTH
CVI,2026-06-29,28.1,28.523,666344.0,46671687,TWS historical TRADES / 1 day / RTH
CVI,2026-06-30,27.54,27.933,408910.0,46671687,TWS historical TRADES / 1 day / RTH
CVX,2026-06-22,175.06,174.387,3966903.0,5684,TWS historical TRADES / 1 day / RTH
CVX,2026-06-23,175.98,175.829,2878905.0,5684,TWS historical TRADES / 1 day / RTH
CVX,2026-06-25,172.24,171.483,3540025.0,5684,TWS historical TRADES / 1 day / RTH
CVX,2026-06-29,168.47,169.404,4193606.0,5684,TWS historical TRADES / 1 day / RTH
CVX,2026-06-30,165.76,167.03,6673915.0,5684,TWS historical TRADES / 1 day / RTH
DEC,2026-06-22,13.12,12.933,892289.0,831843620,TWS historical TRADES / 1 day / RTH
DEC,2026-06-23,12.93,13.021,512860.0,831843620,TWS historical TRADES / 1 day / RTH
DEC,2026-06-25,12.52,12.585,581600.0,831843620,TWS historical TRADES / 1 day / RTH
DEC,2026-06-29,13.48,13.383,906104.0,831843620,TWS historical TRADES / 1 day / RTH
DEC,2026-06-30,13.86,13.793,891307.0,831843620,TWS historical TRADES / 1 day / RTH
DINO,2026-06-22,65.84,65.013,839436.0,550324178,TWS historical TRADES / 1 day / RTH
DINO,2026-06-23,65.65,65.723,1010701.0,550324178,TWS historical TRADES / 1 day / RTH
DINO,2026-06-25,67.78,67.271,1318550.0,550324178,TWS historical TRADES / 1 day / RTH
DINO,2026-06-29,70.81,71.106,1207963.0,550324178,TWS historical TRADES / 1 day / RTH
DINO,2026-06-30,69.65,70.501,1008019.0,550324178,TWS historical TRADES / 1 day / RTH
DK,2026-06-22,42.88,42.182,471592.0,280731752,TWS historical TRADES / 1 day / RTH
DK,2026-06-23,43.41,43.064,370504.0,280731752,TWS historical TRADES / 1 day / RTH
DK,2026-06-25,47.17,46.593,390109.0,280731752,TWS historical TRADES / 1 day / RTH
DK,2026-06-29,51.58,51.483,833890.0,280731752,TWS historical TRADES / 1 day / RTH
DK,2026-06-30,50.81,51.536,563841.0,280731752,TWS historical TRADES / 1 day / RTH
DVN,2026-06-22,43.05,42.771,8308791.0,754442,TWS historical TRADES / 1 day / RTH
DVN,2026-06-23,43.39,43.317,5298883.0,754442,TWS historical TRADES / 1 day / RTH
DVN,2026-06-25,42.6,42.962,8382365.0,754442,TWS historical TRADES / 1 day / RTH
DVN,2026-06-29,41.99,42.479,6343669.0,754442,TWS historical TRADES / 1 day / RTH
DVN,2026-06-30,41.32,41.745,7430056.0,754442,TWS historical TRADES / 1 day / RTH
EGY,2026-06-22,5.45,5.48644,767228.0,30080724,TWS historical TRADES / 1 day / RTH
EGY,2026-06-23,5.32,5.35818,577798.0,30080724,TWS historical TRADES / 1 day / RTH
EGY,2026-06-25,5.01,5.00354,1079110.0,30080724,TWS historical TRADES / 1 day / RTH
EGY,2026-06-29,4.95,4.94195,923582.0,30080724,TWS historical TRADES / 1 day / RTH
EGY,2026-06-30,5.08,5.05658,1241544.0,30080724,TWS historical TRADES / 1 day / RTH
EOG,2026-06-22,132.83,131.631,1705364.0,6890,TWS historical TRADES / 1 day / RTH
EOG,2026-06-23,134.9,133.8,1973552.0,6890,TWS historical TRADES / 1 day / RTH
EOG,2026-06-25,133.59,133.503,2417323.0,6890,TWS historical TRADES / 1 day / RTH
EOG,2026-06-29,131.93,133.082,1536393.0,6890,TWS historical TRADES / 1 day / RTH
EOG,2026-06-30,129.73,130.984,1430030.0,6890,TWS historical TRADES / 1 day / RTH
EQT,2026-06-22,51.84,51.237,5314307.0,57698865,TWS historical TRADES / 1 day / RTH
EQT,2026-06-23,51.66,51.497,4767859.0,57698865,TWS historical TRADES / 1 day / RTH
EQT,2026-06-25,51.65,51.411,4617700.0,57698865,TWS historical TRADES / 1 day / RTH
EQT,2026-06-29,52.0,52.146,3540710.0,57698865,TWS historical TRADES / 1 day / RTH
EQT,2026-06-30,53.17,53.274,5057984.0,57698865,TWS historical TRADES / 1 day / RTH
EXE,2026-06-22,88.44,87.801,1857498.0,470458975,TWS historical TRADES / 1 day / RTH
EXE,2026-06-23,88.73,88.776,2052688.0,470458975,TWS historical TRADES / 1 day / RTH
EXE,2026-06-25,88.44,88.681,1993829.0,470458975,TWS historical TRADES / 1 day / RTH
EXE,2026-06-29,87.54,87.77,1828384.0,470458975,TWS historical TRADES / 1 day / RTH
EXE,2026-06-30,91.19,91.383,4280467.0,470458975,TWS historical TRADES / 1 day / RTH
FANG,2026-06-22,187.8,186.909,830826.0,115441080,TWS historical TRADES / 1 day / RTH
FANG,2026-06-23,187.91,187.973,686293.0,115441080,TWS historical TRADES / 1 day / RTH
FANG,2026-06-25,182.55,182.609,827695.0,115441080,TWS historical TRADES / 1 day / RTH
FANG,2026-06-29,180.54,180.971,992951.0,115441080,TWS historical TRADES / 1 day / RTH
FANG,2026-06-30,175.78,177.765,1184612.0,115441080,TWS historical TRADES / 1 day / RTH
GEVO,2026-06-22,1.42,1.45951,2349708.0,320228879,TWS historical TRADES / 1 day / RTH
GEVO,2026-06-23,1.4,1.42178,1430202.0,320228879,TWS historical TRADES / 1 day / RTH
GEVO,2026-06-25,1.4,1.40626,1742189.0,320228879,TWS historical TRADES / 1 day / RTH
GEVO,2026-06-29,1.47,1.46044,2977279.0,320228879,TWS historical TRADES / 1 day / RTH
