trade_day,minute_end_ny,minute,open,high,low,close,bar_vwap,volume,bar_count,source
2026-06-22,2026-06-22T15:30:00-04:00,15:30,154.44,154.47,154.31,154.36,154.364,8224.0,52,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:31:00-04:00,15:31,154.35,154.35,154.26,154.32,154.287,4572.0,29,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:32:00-04:00,15:32,154.31,154.51,154.3,154.51,154.425,3455.0,30,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:33:00-04:00,15:33,154.48,154.48,154.39,154.4,154.435,1605.0,11,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:34:00-04:00,15:34,154.4,154.41,154.36,154.41,154.392,2423.0,14,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:35:00-04:00,15:35,154.4,154.46,154.38,154.42,154.425,2224.0,14,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:36:00-04:00,15:36,154.43,154.48,154.43,154.43,154.459,5880.0,49,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:37:00-04:00,15:37,154.41,154.49,154.41,154.46,154.456,4015.0,29,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:38:00-04:00,15:38,154.45,154.49,154.38,154.4,154.452,5468.0,27,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:39:00-04:00,15:39,154.39,154.4,154.3,154.34,154.335,4611.0,20,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:40:00-04:00,15:40,154.34,154.42,154.34,154.37,154.379,5556.0,28,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:41:00-04:00,15:41,154.4,154.44,154.38,154.41,154.403,3310.0,24,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:42:00-04:00,15:42,154.41,154.41,154.34,154.36,154.367,2066.0,17,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:43:00-04:00,15:43,154.36,154.46,154.34,154.44,154.399,3936.0,32,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:44:00-04:00,15:44,154.44,154.49,154.39,154.47,154.433,4694.0,40,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:45:00-04:00,15:45,154.45,154.48,154.38,154.39,154.435,5585.0,38,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:46:00-04:00,15:46,154.41,154.57,154.41,154.57,154.484,7704.0,65,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:47:00-04:00,15:47,154.56,154.68,154.53,154.65,154.606,9330.0,69,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:48:00-04:00,15:48,154.62,154.66,154.57,154.65,154.618,7994.0,44,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:49:00-04:00,15:49,154.68,154.78,154.67,154.78,154.729,4688.0,33,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:50:00-04:00,15:50,154.8,154.96,154.75,154.92,154.873,16118.0,90,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:51:00-04:00,15:51,154.91,154.91,154.75,154.78,154.816,9588.0,68,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:52:00-04:00,15:52,154.77,154.79,154.7,154.71,154.736,5827.0,52,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:53:00-04:00,15:53,154.72,154.82,154.65,154.8,154.712,6676.0,56,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:54:00-04:00,15:54,154.82,154.9,154.79,154.81,154.856,8265.0,66,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:55:00-04:00,15:55,154.83,154.92,154.76,154.9,154.854,14246.0,117,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:56:00-04:00,15:56,154.9,154.97,154.9,154.93,154.921,17757.0,143,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:57:00-04:00,15:57,154.95,155.03,154.84,154.86,154.932,18562.0,154,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:58:00-04:00,15:58,154.87,154.94,154.87,154.92,154.913,50951.0,314,TWS historical TRADES / 1 min / RTH
2026-06-22,2026-06-22T15:59:00-04:00,15:59,154.92,155.01,154.83,154.99,154.912,55491.0,399,TWS historical TRADES / 1 min / RTH
2026-06-23,2026-06-23T15:30:00-04:00,15:30,154.94,154.96,154.92,154.96,154.943,1937.0,19,TWS historical TRADES / 1 min / RTH
2026-06-23,2026-06-23T15:31:00-04:00,15:31,154.97,154.97,154.91,154.91,154.929,2163.0,20,TWS historical TRADES / 1 min / RTH
