trade_day,minute_start_ny,minute,open,high,low,close,bar_vwap,volume,source
2026-07-09,2026-07-09T15:30:00-04:00,15:30,159.8,159.84,159.74,159.81,159.79,8544.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:31:00-04:00,15:31,159.83,159.85,159.76,159.8,159.802,26726.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:32:00-04:00,15:32,159.79,159.82,159.72,159.82,159.758,20267.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:33:00-04:00,15:33,159.82,159.86,159.81,159.86,159.836,3568.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:34:00-04:00,15:34,159.85,159.87,159.8,159.81,159.841,7293.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:35:00-04:00,15:35,159.81,159.83,159.75,159.75,159.804,6175.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:36:00-04:00,15:36,159.75,159.83,159.75,159.78,159.786,5767.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:37:00-04:00,15:37,159.77,159.77,159.64,159.66,159.683,6569.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:38:00-04:00,15:38,159.67,159.7,159.66,159.7,159.681,2536.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:39:00-04:00,15:39,159.69,159.74,159.66,159.66,159.717,6151.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:40:00-04:00,15:40,159.63,159.75,159.62,159.75,159.687,5832.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:41:00-04:00,15:41,159.76,159.82,159.76,159.82,159.792,3930.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:42:00-04:00,15:42,159.84,159.86,159.82,159.82,159.841,2942.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:43:00-04:00,15:43,159.85,159.86,159.76,159.8,159.817,6459.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:44:00-04:00,15:44,159.82,159.82,159.77,159.82,159.791,2856.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:45:00-04:00,15:45,159.84,159.87,159.81,159.84,159.83,5113.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:46:00-04:00,15:46,159.84,159.84,159.67,159.68,159.694,10915.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:47:00-04:00,15:47,159.69,159.76,159.68,159.74,159.728,8538.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:48:00-04:00,15:48,159.73,159.77,159.71,159.74,159.751,5695.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:49:00-04:00,15:49,159.71,159.72,159.68,159.71,159.697,7518.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:50:00-04:00,15:50,159.7,159.72,159.54,159.56,159.627,26327.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:51:00-04:00,15:51,159.56,159.58,159.52,159.55,159.555,28132.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:52:00-04:00,15:52,159.54,159.56,159.49,159.55,159.527,28827.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:53:00-04:00,15:53,159.55,159.56,159.43,159.45,159.493,20286.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:54:00-04:00,15:54,159.46,159.46,159.39,159.46,159.43,34946.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:55:00-04:00,15:55,159.45,159.45,159.27,159.29,159.325,38938.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:56:00-04:00,15:56,159.3,159.39,159.29,159.37,159.338,38654.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:57:00-04:00,15:57,159.37,159.44,159.36,159.39,159.388,44716.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:58:00-04:00,15:58,159.4,159.58,159.39,159.57,159.467,92939.0,TWS historical TRADES / 1 min / RTH
2026-07-09,2026-07-09T15:59:00-04:00,15:59,159.56,159.56,159.36,159.46,159.458,90963.0,TWS historical TRADES / 1 min / RTH
