Name,Ticker,trade_ticker,weight_renorm_pct,market_price,target_short_shares_2000,current_short_shares,additional_sell_shares,cover_needed_shares,source_symbol_note
PBF ENERGY INC CLASS A,PBF,PBF,3.08061297874109,48.83,197,95.0,102,0,
TEXAS PACIFIC LAND CORP,TPL,TPL,3.0195658277421855,417.22,23,11.0,12,0,
DELEK US HOLDINGS INC,DK,DK,2.9439432425058683,53.89,171,82.0,89,0,
VALERO ENERGY CORP,VLO,VLO,2.8508275319976706,274.365,32,16.0,16,0,
HF SINCLAIR CORP,DINO,DINO,2.7992686361204675,74.3,118,57.0,61,0,
PAR PACIFIC HOLDINGS INC,PARR,PARR,2.785291163279409,59.795,146,71.0,75,0,
EXPAND ENERGY CORP,EXE,EXE,2.760965052000956,90.66,95,47.0,48,0,
CNX RESOURCES CORP,CNX,CNX,2.7577448746319844,34.055,253,126.0,127,0,
MARATHON PETROLEUM CORP,MPC,MPC,2.7459318818202716,270.305,32,15.0,17,0,
EQT CORP,EQT,EQT,2.7230631136434846,52.9,161,80.0,81,0,
ANTERO RESOURCES CORP,AR,AR,2.6739140923385207,35.39,236,117.0,119,0,
PHILLIPS 66,PSX,PSX,2.621527866288139,179.015,46,22.0,24,0,
RANGE RESOURCES CORP,RRC,RRC,2.5785317375423027,37.9,213,106.0,107,0,
VIPER ENERGY INC CL A,VNOM,VNOM,2.5128511369294437,41.24,191,94.0,97,0,
EOG RESOURCES INC,EOG,EOG,2.502419364830581,130.275,60,30.0,30,0,
PERMIAN RESOURCES CORP CL A,PR,PR,2.4807515274983967,18.17,427,213.0,214,0,
EXXONMOBIL HOLDINGS CORP,2670549D,XOM,2.469879046832707,138.64,56,28.0,28,0,official 2670549D mapped to tradable XOM
MAGNOLIA OIL + GAS CORP   A,MGY,MGY,2.452056391746085,25.49,301,152.0,149,0,
OVINTIV INC,OVV,OVV,2.448984452713228,53.03,144,72.0,72,0,
MATADOR RESOURCES CO,MTDR,MTDR,2.4380318432172055,49.93,153,77.0,76,0,
CALIFORNIA RESOURCES CORP,CRC,CRC,2.3996901979032867,52.35,143,72.0,71,0,
DIAMONDBACK ENERGY INC,FANG,FANG,2.3883519684112917,172.91,43,21.0,22,0,
CHEVRON CORP,CVX,CVX,2.3828931918449157,168.99,44,22.0,22,0,
GULFPORT ENERGY CORP,GPOR,GPOR,2.377782975690485,169.21,44,22.0,22,0,
DEVON ENERGY CORP,DVN,DVN,2.3578228840547544,40.745,181,91.0,90,0,
CONOCOPHILLIPS,COP,COP,2.349617691828745,104.275,70,35.0,35,0,
OCCIDENTAL PETROLEUM CORP,OXY,OXY,2.2919209275481025,48.81,147,73.0,74,0,
APA CORP,APA,APA,2.2894359321974274,32.695,219,111.0,108,0,
CALUMET INC,CLMT,CLMT,2.2734582434292028,36.95,192,94.0,98,0,
VENTURE GLOBAL INC CL A,VG,VG,2.265609624498172,11.2339,631,317.0,314,0,
CRESCENT ENERGY INC A,CRGY,CRGY,2.2076344125321246,9.68,713,360.0,353,0,
CHORD ENERGY CORP,CHRD,CHRD,2.204303056411067,114.18,60,30.0,30,0,
MURPHY OIL CORP,MUR,MUR,2.159072334909344,32.36,209,106.0,103,0,
SM ENERGY CO,SM,SM,2.1394337602053204,26.47,253,128.0,125,0,
NORTHERN OIL AND GAS INC,NOG,NOG,1.8252896824986244,18.03,317,161.0,156,0,
TALOS ENERGY INC,TALO,TALO,1.547420927893658,13.73,352,168.0,184,0,
WORLD KINECT CORP,WKC,WKC,1.2655297060060193,33.41,118,57.0,61,0,
GREEN PLAINS INC,GPRE,GPRE,1.1358271715681756,16.27,218,104.0,114,0,
COMSTOCK RESOURCES INC,CRK,CRK,1.1316334289106682,15.08,235,119.0,116,0,
KOSMOS ENERGY LTD,KOS,KOS,1.1031676619351827,2.095,1647,851.0,796,0,
BKV CORPORATION,BKV,BKV,1.0142697327335919,27.65,115,58.0,57,0,
CVR ENERGY INC,CVI,CVI,0.8984745584102665,29.35,96,47.0,49,0,
DIVERSIFIED ENERGY CO,DEC,DEC,0.744979771026058,14.235,164,85.0,79,0,
SABLE OFFSHORE CORP,SOC,SOC,0.6941390297907071,4.2651,509,177.0,332,0,
REX AMERICAN RESOURCES CORP,REX,REX,0.537605356516153,46.255,36,18.0,18,0,
NEW ERA ENERGY + DIGITAL INC,NUAI,NUAI,0.4807088789284523,5.1099,294,-0.0,294,0,
VAALCO ENERGY INC,EGY,EGY,0.47336106518699694,5.085,291,147.0,144,0,
VITESSE ENERGY INC,VTS,VTS,0.450293978155138,15.88,89,43.0,46,0,
GEVO INC,GEVO,GEVO,0.4191479018050431,1.484,883,446.0,437,0,
SANDRIDGE ENERGY INC,SD,SD,0.3560835075025275,13.61,82,41.0,41,0,
CLEAN ENERGY FUELS CORP,CLNE,CLNE,0.18887867724849333,2.095,282,139.0,143,0,
