Rank,ticker,name,weight_pct,status,shortableShares,price,price_source,target_short_usd,raw_target_shares,target_short_shares,actual_short_usd,usd_rounding_diff,actual_weight_pct,weight_diff_bp,bid,ask,last,close,snapshot_time
1,TPL,TEXAS PACIFIC LAND CORP,3.174918356847134,SHORTABLE,289088,428.08,marketPrice,4847.395499030354,11.323573862433083,11,4708.88,-138.51549903035357,3.0880311680613515,-8.68871887857825,427.33,428.22,428.08,437.640015,2026-07-02 00:21:36
2,PBF,PBF ENERGY INC CLASS A,2.9104632443813974,SHORTABLE,4353748,46.81,marketPrice,4443.631251330141,94.9291017160893,95,4446.95,3.3187486698589055,2.9162603852318227,0.5797140850425375,46.79,46.83,46.81,45.52,2026-07-02 00:21:36
3,DK,DELEK US HOLDINGS INC,2.8066204926460654,SHORTABLE,1578807,52.02,marketPrice,4285.0864225211735,82.3738258846823,82,4265.64,-19.44642252117319,2.797359302366852,-0.9261190279213238,51.99,52.08,52.02,50.810001,2026-07-02 00:21:36
4,EXE,EXPAND ENERGY CORP,2.8026544661907957,SHORTABLE,6500774,90.74,marketPrice,4279.03118058185,47.15705510890292,47,4264.78,-14.251180581850349,2.7967953239251564,-0.5859142265639328,90.71,90.76,90.74,91.190002,2026-07-02 00:21:36
5,CNX,CNX RESOURCES CORP,2.7816444800796947,SHORTABLE,1610337,33.73,marketPrice,4246.953596007115,125.91027560056672,126,4249.98,3.0264039928842976,2.787089648416902,0.5445168337207207,33.71,33.73,33.73,33.93,2026-07-02 00:21:36
6,EQT,EQT CORP,2.7507877402939704,SHORTABLE,7378941,52.67,marketPrice,4199.842204550547,79.73879256788582,80,4213.6,13.757795449453624,2.7632320487553965,1.244430846142608,52.67,52.68,52.67,53.169998,2026-07-02 00:21:36
7,VLO,VALERO ENERGY CORP,2.7476053553848567,SHORTABLE,3656175,266.98,marketPrice,4194.983409283781,15.712725332548432,16,4271.68,76.69659071621936,2.8013202672364375,5.371491185158073,266.81,267.16,266.98,260.440002,2026-07-02 00:21:36
8,AR,ANTERO RESOURCES CORP,2.683659034147644,SHORTABLE,12196669,35.145,marketPrice,4097.351572837871,116.5841961257041,117,4111.965,14.613427162129483,2.6965809453580034,1.2921911210359571,35.13,35.15,35.145,35.139999,2026-07-02 00:21:36
9,DINO,HF SINCLAIR CORP,2.679129917814251,SHORTABLE,3179800,71.525,marketPrice,4090.4366176606063,57.18890762195884,57,4076.925,-13.511617660606134,2.673602102803326,-0.5527815010924808,71.47,71.55,71.525,69.650002,2026-07-02 00:21:36
10,PARR,PAR PACIFIC HOLDINGS INC,2.6486547519320713,SHORTABLE,1059757,57.34,marketPrice,4043.907804845344,70.52507507578207,71,4071.1400000000003,27.232195154656438,2.669808364099593,2.115361216752154,57.27,57.4,57.34,56.080002,2026-07-02 00:21:36
11,MPC,MARATHON PETROLEUM CORP,2.6427925666671093,SHORTABLE,2977674,261.92,marketPrice,4034.957549350875,15.40530524339827,15,3928.8,-106.15754935087489,2.5764633741100726,-6.632919255703662,261.76,262.09,261.92,255.669998,2026-07-02 00:21:36
12,RRC,RANGE RESOURCES CORP,2.586279617356518,SHORTABLE,1556376,37.12,marketPrice,3948.6748216283495,106.37593808266028,106,3934.72,-13.954821628349691,2.580345644313374,-0.5933973043144025,37.11,37.13,37.12,37.189999,2026-07-02 00:21:36
13,VNOM,VIPER ENERGY INC CL A,2.577206746304686,SHORTABLE,1943014,41.78,marketPrice,3934.8225617095754,94.1795730423546,94,3927.32,-7.502561709575275,2.575492806559247,-0.1713939745438875,41.78,41.79,41.78,42.400002,2026-07-02 00:21:36
14,PR,PERMIAN RESOURCES CORP CL A,2.5397002761384955,SHORTABLE,18170084,18.23,marketPrice,3877.55850820218,212.7020574987482,213,3882.9900000000002,5.431491797820399,2.5464216852564827,0.6721409117987243,18.22,18.23,18.23,18.41,2026-07-02 00:21:36
15,PSX,PHILLIPS 66,2.532208350671687,SHORTABLE,5657471,172.67,marketPrice,3866.1200012218164,22.390224134023377,22,3798.74,-67.38000122181666,2.4911714716368603,-4.103687903482678,172.56,172.74,172.67,169.050003,2026-07-02 00:21:36
16,EOG,EOG RESOURCES INC,2.517218644384052,SHORTABLE,4797698,128.87,marketPrice,3843.234047435394,29.82256574404744,30,3866.1000000000004,22.865952564606232,2.535345410977131,1.812676659307888,128.85,128.89,128.87,129.729996,2026-07-02 00:21:36
17,MGY,MAGNOLIA OIL + GAS CORP   A,2.503606898075462,SHORTABLE,2261744,25.134999999999998,marketPrice,3822.4519326298573,152.07686224904944,152,3820.5199999999995,-1.9319326298577835,2.50545455356725,0.18476554917881138,25.13,25.14,25.125,25.58,2026-07-02 00:21:36
18,OVV,OVINTIV INC,2.4732878749671126,SHORTABLE,2557730,52.33,marketPrice,3776.161515166538,72.16054873240088,72,3767.7599999999998,-8.401515166538047,2.4708551319580954,-0.2432743009017191,52.32,52.34,52.295,52.650002,2026-07-02 00:21:36
19,XOM,EXXON MOBIL CORP,2.4706246647809826,SHORTABLE,18783102,136.87,marketPrice,3772.0953844449787,27.559694487067866,28,3832.36,60.264615555021464,2.513219093973854,4.259442919287126,136.86,136.89,136.87,136.720001,2026-07-02 00:21:36
20,MTDR,MATADOR RESOURCES CO,2.4675740253372878,SHORTABLE,1225993,48.93,marketPrice,3767.437735256413,76.99647936350732,77,3767.61,0.17226474358722044,2.470756763625242,0.31827382879541233,48.91,48.94,48.93,49.779999,2026-07-02 00:21:36
21,CRC,CALIFORNIA RESOURCES CORP,2.444442449286779,SHORTABLE,1637837,51.745,marketPrice,3732.120953837169,72.12524792418918,72,3725.64,-6.4809538371691815,2.4432333040927126,-0.12091451940663411,51.68,51.8,51.745,52.869999,2026-07-02 00:21:36
22,FANG,DIAMONDBACK ENERGY INC,2.4342307118783273,SHORTABLE,2743124,174.685,marketPrice,3716.5298978201686,21.27560979946858,21,3668.385,-48.14489782016835,2.405686111442369,-2.854460043595841,174.61,174.81,174.685,175.779999,2026-07-02 00:21:36
23,GPOR,GULFPORT ENERGY CORP,2.432323818252934,SHORTABLE,181250,167.62,marketPrice,3713.618494584578,22.154984456416763,22,3687.6400000000003,-25.978494584577675,2.4183133264363845,-1.4010491816549564,167.43,167.76,167.62,169.699997,2026-07-02 00:21:36
24,DVN,DEVON ENERGY CORP,2.4134276149425515,SHORTABLE,13564087,40.605,marketPrice,3684.7681870867586,90.74666142314392,91,3695.055,10.286812913241192,2.423176001023797,0.9748386081245286,40.6,40.61,40.605,41.32,2026-07-02 00:21:36
25,CVX,CHEVRON CORP,2.3768775192660665,SHORTABLE,13715259,166.69,marketPrice,3628.964305110006,21.770737927350208,22,3667.18,38.215694889993756,2.4048958858351086,2.801836656904211,166.67,166.69,166.69,165.759995,2026-07-02 00:21:36
26,COP,CONOCOPHILLIPS,2.359532008878278,SHORTABLE,9406352,103.96,marketPrice,3602.481561451159,34.65257369614428,35,3638.6,36.11843854884091,2.386153439482007,2.6621430603729124,103.95,103.98,103.96,103.959999,2026-07-02 00:21:36
27,APA,APA CORP,2.3328628231081936,SHORTABLE,4283438,32.135,marketPrice,3561.7636353394814,110.83751782603024,111,3566.9849999999997,5.2213646605182475,2.3391891184331137,0.6326295324920128,32.13,32.14,32.135,32.57,2026-07-02 00:21:36
28,OXY,OCCIDENTAL PETROLEUM CORP,2.315252845897232,SHORTABLE,14343294,48.285,marketPrice,3534.877109553284,73.2085970705868,73,3524.805,-10.072109553284008,2.311527943234589,-0.3724902662642915,48.28,48.29,48.285,48.57,2026-07-02 00:21:36
29,CRGY,CRESCENT ENERGY INC A,2.2825204410408793,SHORTABLE,8021114,9.685,marketPrice,3484.9019939315117,359.8246767095004,360,3486.6000000000004,1.6980060684886666,2.286473528856694,0.39530878158147154,9.68,9.69,9.685,9.82,2026-07-02 00:21:36
30,VG,VENTURE GLOBAL INC CL A,2.2794561391044743,SHORTABLE,21584160,10.995,marketPrice,3480.223485149651,316.52782948155084,317,3485.415,5.1915148503489945,2.285696419027148,0.6240279922673508,10.99,11.0,10.995,11.13,2026-07-02 00:21:36
31,CHRD,CHORD ENERGY CORP,2.250422366203209,SHORTABLE,549925,112.69999999999999,marketPrice,3435.895359427003,30.487092807693017,30,3380.9999999999995,-54.895359427003314,2.2172222225275284,-3.3200143675680582,112.66,112.74,112.65,114.300003,2026-07-02 00:21:36
32,CLMT,CALUMET INC,2.2412811826878256,SHORTABLE,5653948,36.265,marketPrice,3421.9388015417526,94.359266552923,94,3408.91,-13.028801541752728,2.235525290327216,-0.5755892360609582,36.22,36.3,36.265,36.02,2026-07-02 00:21:36
