ticker,conId,primaryExchange,weight_pct,shortableShares,status
TPL,463654490,NYSE,3.174918356847134,289088,SHORTABLE
PBF,118786560,NYSE,2.9104632443813974,4353748,SHORTABLE
DK,280731752,NYSE,2.8066204926460654,1578807,SHORTABLE
EXE,470458975,NASDAQ,2.8026544661907957,6500774,SHORTABLE
CNX,295296295,NYSE,2.7816444800796947,1610337,SHORTABLE
EQT,57698865,NYSE,2.7507877402939704,7378941,SHORTABLE
VLO,13497,NYSE,2.7476053553848567,3656175,SHORTABLE
AR,135942630,NYSE,2.683659034147644,12196669,SHORTABLE
DINO,550324178,NYSE,2.679129917814251,3179800,SHORTABLE
PARR,143288167,NYSE,2.6486547519320713,1059757,SHORTABLE
MPC,89495776,NYSE,2.6427925666671093,2977674,SHORTABLE
RRC,6608450,NYSE,2.586279617356518,1556376,SHORTABLE
VNOM,808305869,NASDAQ,2.577206746304686,1943014,SHORTABLE
PR,583257697,NYSE,2.5397002761384955,18170084,SHORTABLE
PSX,105669270,NYSE,2.532208350671687,5657471,SHORTABLE
EOG,6890,NYSE,2.517218644384052,4797698,SHORTABLE
MGY,327849712,NYSE,2.503606898075462,2261744,SHORTABLE
OVV,400651394,NYSE,2.4732878749671126,2557730,SHORTABLE
XOM,13977,NYSE,2.4706246647809826,18783102,SHORTABLE
MTDR,101694297,NYSE,2.4675740253372878,1225993,SHORTABLE
CRC,452226249,NYSE,2.444442449286779,1637837,SHORTABLE
FANG,115441080,NASDAQ,2.4342307118783273,2743124,SHORTABLE
GPOR,491186703,NYSE,2.432323818252934,181250,SHORTABLE
DVN,754442,NYSE,2.4134276149425515,13564087,SHORTABLE
CVX,5684,NYSE,2.3768775192660665,13715259,SHORTABLE
COP,10885,NYSE,2.359532008878278,9406352,SHORTABLE
APA,474515500,NASDAQ,2.3328628231081936,4283438,SHORTABLE
OXY,10880,NYSE,2.315252845897232,14343294,SHORTABLE
CRGY,530965685,NYSE,2.2825204410408793,8021114,SHORTABLE
VG,756373540,NYSE,2.2794561391044743,21584160,SHORTABLE
CHRD,456517746,NASDAQ,2.250422366203209,549925,SHORTABLE
CLMT,715002751,NASDAQ,2.2412811826878256,5653948,SHORTABLE
MUR,9952,NYSE,2.224479244331432,1319747,SHORTABLE
SM,75472988,NYSE,2.16384998114576,6626540,SHORTABLE
NOG,443378898,NYSE,1.8810949355872024,1724295,SHORTABLE
TALO,316544447,NYSE,1.4787433083062491,4185018,SHORTABLE
WKC,2007782,NYSE,1.2463169823222957,1908187,SHORTABLE
CRK,241891174,NYSE,1.1467691327596128,2538692,SHORTABLE
KOS,346369068,NYSE,1.1432842212262049,23467081,SHORTABLE
GPRE,38333348,NASDAQ,1.0982233684836742,982181,SHORTABLE
BKV,731109568,NYSE,1.0172438224063318,1802434,SHORTABLE
CVI,46671687,NYSE,0.8611342289162365,404958,SHORTABLE
DEC,831843620,NYSE,0.7586674853752775,1198981,SHORTABLE
NUAI,747071663,NASDAQ,0.588630932351924,576942,SHORTABLE
REX,11736,NYSE,0.5319179251123642,515441,SHORTABLE
SOC,683779067,NYSE,0.48447491917659674,2793817,SHORTABLE
EGY,30080724,NYSE,0.4833936304678272,1563278,SHORTABLE
VTS,606826288,NYSE,0.45040554181932874,184753,SHORTABLE
GEVO,320228879,NASDAQ,0.4323320157485602,1587812,SHORTABLE
SD,249453965,NYSE,0.363265187422075,1424477,SHORTABLE
CLNE,44465608,NASDAQ,0.1865057120930236,3627360,SHORTABLE
